,ScorePerSentence
1403,10.1717
1404,4.6484
1405,44.7494
1406,36.3802
1407,37.5023
1408,37.6039
1409,19.494
1410,23.0849
1411,7.9317
1412,30.0216
1413,36.9938
1414,41.5169
1415,41.6822
1416,44.1248
1417,66.4047
1418,15.8512
1419,48.4393
1420,20.6124
1421,26.0229
1422,46.235
1423,36.0992
1424,48.7406
1425,10.1471
1426,57.4909
1427,11.7046
1428,49.7588
1429,14.3978
1430,16.9959
1431,6.9622
1432,41.2118
1433,52.1874
1434,42.8031
1435,58.9416
1436,16.3324
1437,20.7806
1438,13.4794
1439,46.5105
1440,23.9011
1441,24.3754
1442,27.7762
1443,41.8013
1444,34.4607
1445,65.8037
1446,44.2299
1447,6.2043
1448,15.9311
1449,21.7438
1450,15.0577
1451,13.7061
1452,53.8693
1453,44.915
1454,34.5721
1455,18.6005
1456,33.1504
1457,6.7426
1458,40.0292
1459,33.1182
1460,32.4032
1461,39.7635
1462,30.0943
1463,12.5172
1464,22.9975
1465,56.4662
1466,59.4204
1467,12.3007
1468,28.2805
1469,35.8732
1470,0.0
1471,31.4556
1472,39.5696
1473,28.2956
1474,21.1891
1475,12.0226
1476,25.9654
1477,31.2085
1478,35.8919
1479,7.2053
1480,49.5047
1481,32.108
1482,36.8886
1483,86.334
1484,17.8795
1485,40.7273
1486,22.9035
1487,52.6863
1488,60.4396
1489,77.4403
1490,45.2589
1491,53.2943
1492,62.7336
1493,45.8706
1494,29.8567
1495,20.4338
1496,100.0
1497,47.5118
1498,68.0375
1499,29.8995
1500,21.5213
1501,16.8511
1502,26.5029
1503,59.0047
1504,33.4607
1505,9.3035
1506,100.0
1507,63.4047
1508,74.6647
1509,80.7056
1510,51.3506
1511,38.5032
1512,38.57
1513,28.5024
1514,11.3396
1515,17.695
1516,48.8207
1517,16.8828
1518,7.5113
1519,14.7798
1520,28.1499
1521,16.2395
1522,15.1866
1523,40.1267
1524,30.0713
1525,30.9266
1526,22.7816
1527,70.7217
1528,2.5792
1529,17.8669
1530,15.7502
1531,63.2973
1532,16.4021
1533,42.4404
1534,29.38
1535,14.5358
1536,39.352
1537,52.8484
1538,59.4604
1539,16.073
1540,32.3547
1541,62.9375
1542,19.8171
1543,19.675
1544,45.8779
1545,25.6505
1546,22.3929
1547,3.4316
1548,22.101
1549,36.3476
1550,21.1676
1551,38.6558
1552,27.9832
1553,50.115
1554,12.5848
1555,50.8962
1556,78.2542
1557,30.9466
1558,28.6952
1559,35.369
1560,30.0419
1561,15.2263
1562,47.4098
1563,47.2941
1564,76.531
1565,32.9709
1566,66.6587
1567,30.263
1568,61.0474
1569,46.8924
1570,28.5385
1571,68.5612
1572,51.5685
1573,31.1541
1574,61.7303
1575,83.9433
1576,48.201
1577,23.4624
1578,17.7121
1579,36.5555
1580,24.5585
1581,24.2012
1582,31.7131
1583,53.7285
1584,23.7368
1585,65.053
1586,22.737
1587,7.6541
1588,26.4602
1589,25.2945
1590,34.7566
1591,51.0723
1592,23.4624
1593,27.6026
1594,29.421
1595,52.9521
1596,65.7529
1597,49.8553
1598,49.6168
1599,42.4616
1600,8.8417
1601,17.9751
1602,14.5404
1603,6.7543
1604,44.3001
1605,15.0907
1606,30.11
1607,12.8154
1608,9.9801
1609,26.8357
1610,22.479
1611,25.2913
1612,37.4024
1613,36.2237
1614,17.5914
1615,13.2972
1616,37.8327
1617,46.3613
1618,13.1265
1619,38.9187
1620,19.6997
1621,42.7101
1622,6.8784
1623,1.8349
1624,29.3272
1625,31.5879
1626,17.0701
1627,22.9209
1628,70.6458
1629,55.78
1630,4.0232
1631,36.2722
1632,38.438
1633,22.5243
1634,36.4141
1635,34.9833
1636,30.0004
1637,17.3636
1638,81.276
1639,41.0743
1640,9.1515
1641,39.8838
1642,26.9236
1643,32.5561
1644,39.6978
1645,51.8466
1646,48.612
1647,38.3601
1648,27.042
1649,75.7613
1650,36.02
1651,38.4112
1652,33.3434
1653,33.9019
1654,13.2875
1655,20.3885
1656,20.8993
1657,11.3511
1658,11.8492
1659,18.6345
1660,10.3074
1661,30.4005
1662,42.1703
1663,12.7432
1664,11.3284
1665,68.5415
1666,40.2602
1667,39.8329
1668,20.3665
1669,5.8625
1670,50.6673
1671,100.0
1672,24.368
1673,6.9645
1674,6.609
1675,50.7196
1676,34.3993
1677,22.5349
1678,38.5134
1679,6.4233
1680,68.8275
1681,100.0
1682,8.1167
1683,25.6585
1684,31.8727
1685,13.2708
1686,44.048
1687,54.4518
1688,10.5527
1689,24.1516
1690,25.3365
1691,53.2819
1692,21.5864
1693,49.3558
1694,52.664
1695,16.2994
1696,24.2076
1697,17.2034
1698,63.3075
1699,19.546
1700,8.643
1701,31.0441
1702,36.1188
1703,71.6035
1704,23.2109
1705,13.0651
1706,12.6835
1707,7.4173
1708,43.2958
1709,26.2818
1710,15.3597
1711,19.9857
1712,14.6448
1713,23.4237
1714,40.3528
1715,19.7444
1716,52.4737
1717,29.9269
1718,40.325
1719,22.0896
1720,16.6473
1721,20.978
1722,11.8684
1723,57.3201
1724,74.2614
1725,28.2136
1726,13.6792
1727,36.3652
1728,72.7245
1729,15.2639
1730,55.9163
1731,33.5211
1732,41.1134
1733,35.6731
1734,40.8689
1735,16.0178
1736,57.1102
1737,43.4721
1738,16.7845
1739,48.4018
1740,16.8998
1741,40.4915
1742,59.0887
1743,36.3026
1744,21.8405
1745,9.2264
1746,41.329
1747,38.686
1748,20.7024
1749,24.8084
1750,15.3652
1751,31.5929
1752,26.6165
1753,21.3902
1754,9.4105
1755,54.6844
1756,13.6037
1757,53.9404
1758,49.8157
1759,40.2802
1760,33.1208
1761,58.7395
1762,61.8917
1763,25.8371
1764,10.6003
1765,39.9204
1766,17.8551
1767,2.4854
1768,6.8372
1769,40.1889
1770,10.4121
1771,31.4245
1772,45.4801
1773,45.0052
1774,31.609
1775,51.8607
1776,7.6074
1777,4.7785
1778,19.0708
1779,34.5039
1780,24.9748
1781,58.6114
1782,65.0756
1783,34.2781
1784,28.3806
1785,18.5751
1786,38.6771
1787,43.1432
1788,35.8188
1789,65.936
1790,31.8158
1791,29.7338
1792,6.5673
1793,68.4999
1794,30.7394
1795,15.3526
1796,42.9542
1797,42.1796
1798,37.8825
1799,55.4168
1800,23.3976
1801,38.533
1802,69.6092
1803,37.8068
1804,48.8743
1805,34.1377
1806,66.0633
1807,10.382
1808,71.7766
1809,10.5696
1810,3.0059
1811,26.1807
1812,38.6382
1813,27.9789
1814,22.2466
1815,26.3163
1816,34.2264
1817,34.4944
1818,31.0193
1819,40.4682
1820,43.0591
1821,33.4005
1822,32.1594
1823,21.2055
1824,45.5801
1825,14.7474
1826,16.6621
1827,48.4577
1828,30.0821
1829,34.8603
1830,5.7643
1831,51.2142
1832,59.1381
1833,48.5492
1834,28.6645
1835,13.2677
1836,36.8581
1837,46.278
1838,50.6496
1839,52.6226
1840,35.5974
1841,52.664
1842,36.3279
1843,9.2384
1844,39.0058
1845,25.4509
1846,18.8824
1847,60.3758
1848,8.4784
1849,27.7682
1850,38.1633
1851,56.7672
1852,40.2064
1853,26.2937
1854,9.8553
1855,30.9838
1856,4.5599
1857,57.2658
1858,53.4058
1859,36.8683
1860,36.4093
1861,53.5698
1862,32.5556
1863,25.3365
1864,16.5904
1865,19.4784
1866,73.5114
1867,39.6967
1868,19.1915
1869,45.6538
1870,52.2536
1871,62.4971
1872,68.0375
1873,14.0111
1874,71.3146
1875,32.8858
1876,32.2639
1877,13.8881
1878,30.0943
1879,18.796
1880,4.9324
1881,10.4334
1882,47.7235
1883,52.5589
1884,11.9694
1885,25.0874
1886,29.899
1887,19.6046
1888,46.1627
1889,57.5222
1890,17.0653
1891,10.4344
1892,51.424
